director,belongs_to_collection,budget,id,popularity,revenue,runtime,belongs_to_collection.id,averageRating,numVotes,ROI,movies
George Clooney,,31666666.666666668,4381.666666666667,12.392333333333333,42971099.0,106.66666666666667,,6.8,69845.66666666667,3.2041734578544063,3
George Cukor,,5019770.0,3111.0,9.402,4335968.0,176.0,,7.6,16057.0,0.8637782209145041,1
George Gallo,,3250000.0,2324.0,6.45,32788.0,107.0,,6.9,1473.0,0.010088615384615385,1
George Lucas,,60092333.333333336,1194.5,33.481833333333334,556925148.8333334,122.5,24998.0,7.2,578298.3333333334,45.79644180590676,6
George P. Cosmatos,,44000000.0,1369.0,42.961,300400432.0,96.0,5039.0,6.5,155528.0,6.827282545454546,1
George Pal,,750000.0,2134.0,10.01,0.0,103.0,,7.6,36362.0,0.0,1
George Roy Hill,,6000000.0,642.0,14.944,102308889.0,111.0,625812.0,8.0,202633.0,17.0514815,1
George Stevens,,3833333.3333333335,2466.0,12.17,18333333.333333332,166.33333333333334,,7.533333333333334,27859.666666666668,4.311031461569097,3
Georges Méliès,,6742.5,1869.0,8.190999999999999,0.0,17.0,,7.8999999999999995,23877.0,0.0,2
Gianfranco De Bosio,,6000000.0,2526.0,6.057,0.0,141.0,,6.1,470.0,0.0,1
Gil Junger,,16000000.0,4951.0,25.49,53478166.0,97.0,,7.3,300298.0,3.342385375,1
Gilles Bourdos,,15400000.0,1782.0,11.226,0.0,107.0,,5.8,3740.0,0.0,1
Gillies MacKinnon,,12000000.0,3631.0,4.767,875898.0,101.0,,6.0,1803.0,0.0729915,1
Gordon Parks,,2989000.0,487.5,6.8915,11060809.0,102.0,495.0,6.35,9804.5,4.043008114509606,2
Gore Verbinski,,172000000.0,232.5,55.3795,732754992.25,144.5,3862.0,7.375,649689.0,4.6012633577083335,4
Graeme Clifford,,10000000.0,1380.0,6.737,2777280.0,109.0,,6.3,7169.0,0.277728,1
Gregory Hoblit,,30000000.0,1592.0,16.085,102616183.0,129.0,,7.7,191271.0,3.4205394333333334,1
Gregory Nava,,21000000.0,4351.0,13.872,0.0,112.0,,6.1,10189.0,0.0,1
Guillermo del Toro,,29875000.0,2324.5,25.563250000000004,53659942.0,113.25,13978.0,7.1,259471.0,2.049718952219564,4
Gurinder Chadha,,3500159.0,455.0,12.828,76578641.0,112.0,,6.6,104703.0,21.878617799934233,1
Gus Van Sant,,10565312.5,858.375,13.45575,43551302.875,103.875,,7.0875,148492.5,4.1636009356589145,8
Guy Hamilton,,5925000.0,568.5,21.91025,125062611.25,119.0,645.0,6.9750000000000005,116735.0,25.7790568359127,4
Guy Manos,,9.0,2089.0,2.247,37.0,104.0,,5.3,1581.0,4.111111111111111,1
Guy Ritchie,,5675000.0,103.5,13.603000000000002,55957030.0,104.5,,8.25,662623.0,14.680185451851852,2
Gérard Krawczyk,,14450000.0,2277.75,13.95025,48755552.25,87.25,211721.0,6.15,39120.75,3.5929526973727426,4
Gérard Pirès,,8700000.0,2330.0,18.153,44500000.0,86.0,211721.0,7.0,77229.0,5.114942528735632,1
Hal Ashby,,1200000.0,343.0,10.023,0.0,91.0,,7.9,71254.0,0.0,1
Hans Weingartner,,2500000.0,1912.0,4.389,0.0,129.0,,6.7,4485.0,0.0,1
Harold Ramis,,31300000.0,886.5,21.447499999999998,80645090.5,97.0,,7.0,339951.5,3.369812743150685,2
Hayao Miyazaki,,17625000.0,1318.25,38.1625,168422666.75,123.75,,8.325,374046.0,8.405557737452416,4
Henry Bean,,1500000.0,4012.0,13.484,416925.0,98.0,,7.2,36845.0,0.27795,1
Henry Levin,,3500000.0,4868.0,7.007,0.0,127.0,,5.9,1979.0,0.0,1
Herbert Ross,,8200000.0,1788.0,11.299,80035402.0,107.0,,6.6,70860.0,9.760414878048781,1
Hideo Nakata,,1200000.0,2671.0,12.864,8690429.0,96.0,93369.0,7.2,64215.0,7.242024166666667,1
Howard Deutch,,32000000.0,2369.5,12.3635,34805505.5,94.5,103577.0,6.1,47282.5,1.2322645541666666,2
Howard Hawks,,1073000.0,900.0,9.993,0.0,102.0,,7.8,55585.0,0.0,1
Howard W. Koch,,110000.0,3164.0,4.402,0.0,83.0,,4.9,964.0,0.0,1
Howard Zieff,,17000000.0,4032.0,19.876,59489799.0,103.0,85960.0,6.9,72977.0,3.4993999411764705,1
Hugh Johnson,,70000000.0,2162.0,8.052,11263966.0,101.0,,5.3,9262.0,0.1609138,1
Hugh Wilson,,26000000.0,2925.0,13.535,116400000.0,102.0,,6.4,44060.0,4.476923076923077,1
Iain Softley,,54000000.0,1238.0,22.2035,56559160.0,113.0,,6.75,124739.0,1.047475875,2
Ingo J. Biermann,,4500.0,2820.0,1.253,0.0,42.0,,6.4,235.0,0.0,1
Irvin Kershner,,18000000.0,1891.0,29.584,538400000.0,124.0,10.0,8.7,1166780.0,29.91111111111111,1
Irwin Allen,,1580000.0,2160.0,9.156,7000000.0,105.0,,6.1,5471.0,4.430379746835443,1
Irwin Winkler,,22000000.0,1642.0,10.981,110627965.0,114.0,328073.0,6.0,61106.0,5.028543863636363,1
Isabel Coixet,,5000000.0,148.0,8.575,0.0,112.0,,7.5,11994.0,0.0,1
Ishirô Honda,,900000.0,1678.0,14.229,2250000.0,96.0,374509.0,7.6,29644.0,2.5,1
Ivan Reitman,,27333333.333333332,1516.3333333333333,18.027666666666665,237925966.33333334,108.66666666666667,134468.0,6.866666666666667,226308.0,9.722058124024024,3
J. Lee Thompson,,1700000.0,1696.5,13.639,9272297.5,90.5,1709.0,5.85,29569.5,5.454292647058823,2
J.B. Rogers,,30000000.0,2770.0,45.575,287553595.0,108.0,2806.0,6.4,241063.0,9.585119833333334,1
J.J. Abrams,,150000000.0,956.0,32.68,397850012.0,126.0,87359.0,6.9,332038.0,2.6523334133333334,1
Jack Clayton,,800000.0,2516.0,3.706,0.0,100.0,,7.3,1779.0,0.0,1
Jacques Audiard,,6400000.0,1553.0,8.118,9293785.0,107.0,,7.3,18900.0,1.45215390625,1
James Bridges,,5900000.0,988.0,11.978,51718367.0,122.0,,7.4,27393.0,8.765824915254237,1
James Cameron,,79380000.0,906.0,39.65059999999999,611830339.4,143.0,3049.0,8.02,735404.8,7.895114437793626,5
James Cox,,5000000.0,4997.0,15.558,2466444.0,104.0,,6.6,21339.0,0.4932888,1
James Gray,,21000000.0,2001.0,16.911,54926886.0,117.0,,6.8,85312.0,2.615566,1
James Ivory,,11500000.0,1245.0,9.92,23237911.0,134.0,,7.8,66759.0,2.0206879130434783,1
James L. Brooks,,65000000.0,2718.5,14.0955,184609689.0,134.5,,7.050000000000001,178422.5,3.4857886537500002,2
James Mangold,,27750000.0,2150.25,15.07075,92477702.75,114.25,,7.325,179122.5,3.520413496130952,4
James McTeigue,,54000000.0,752.0,26.645,132511035.0,132.0,,8.2,1038506.0,2.4539080555555555,1
James Orr,,20000000.0,2612.0,9.377,15379253.0,110.0,,6.4,11620.0,0.76896265,1
James Wan,,1200000.0,176.0,52.542,103911669.0,103.0,656.0,7.6,380932.0,86.5930575,1
James Whale,,342375.0,1632.0,13.0895,7000000.0,73.0,218406.0,7.8,54738.0,23.15823924071347,2
James Yukich,,3500000.0,2436.0,13.062,2341309.0,89.0,,3.8,11325.0,0.6689454285714286,1
